Feature_1_Age,Feature_2_Income,Feature_3_Experience,Feature_4_Education,Feature_5_Skill,Feature_6_Performance,Feature_7_Projects,Feature_8_Attendance,Feature_9_TrainingHours,Feature_10_IQ,Target
60.0,250533.57076505612,40.0,51.0,87.0,67.0,8.0,74.0,45.0,114.99086016045496,38012.8091846413
54.0,223288.44269050343,34.0,87.0,67.0,52.0,1.0,65.0,65.0,109.0,33979.16938921632
52.0,196879.23312638333,28.0,51.0,75.0,62.0,18.0,86.0,66.0,137.0,29926.07127326258
57.0,235896.06407753692,35.0,50.0,88.0,60.0,14.0,81.0,81.0,99.0,35906.15308454583
33.0,127252.62807032524,11.0,56.0,45.0,74.0,4.0,82.0,98.0,113.0,19414.350214907383
22.0,102232.91153593767,0.0,79.0,74.0,57.0,13.0,65.0,151.0,117.0,15590.963755033628
60.0,233259.81135783016,36.0,73.0,76.0,62.0,3.0,62.0,179.0,109.0,35181.24367920874
38.0,165275.41083743484,18.0,64.0,95.0,56.0,13.0,77.0,126.0,126.0,25131.882872691127
30.0,129235.84439832788,8.0,72.0,53.0,92.0,9.0,64.0,165.0,101.0,19748.401393008706
54.0,194809.879622394,29.0,65.0,50.0,79.0,13.0,77.0,173.0,108.0,29461.451573225564
40.0,185128.24384460776,17.66866368805849,64.0,92.0,52.0,11.0,85.0,78.0,88.0,28128.25894664251
33.0,135787.64102343962,9.0,95.0,60.0,63.0,16.0,85.0,174.0,138.0,20550.0713348946
29.0,127578.08637737409,7.0,58.0,55.0,75.07918781725888,18.0,94.0,77.0,134.0,19525.4052155771
57.0,206695.0321128885,34.0,73.0,54.0,58.0,17.0,91.0,33.0,86.0,31424.224618767843
27.0,130496.80655040598,6.0,90.0,50.0,100.0,14.0,98.0,107.29126903553299,129.0,19899.351607581568
44.0,174641.466938853,20.0,79.0,73.0,66.0,18.0,60.0,184.0,114.99086016045496,26778.247859278843
54.0,1152912.5693815516,32.0,99.0,81.0,71.0,4.0,78.0,121.0,100.0,34883.40598855096
49.0,241012.724560516,29.0,96.0,96.0,96.0,9.0,92.0,55.0,144.0,36517.62431908029
26.0,129294.31797502378,1.0,69.0,93.0,90.0,17.0,98.0,60.0,99.0,19617.18068386559
43.0,194059.06975550784,22.0,84.0,89.0,83.0,1.0,98.0,92.0,142.0,29525.946586913087
21.0,126042.33289997705,1.0,73.0,96.0,69.0,8.0,63.0,71.0,90.0,19274.686763115555
39.983451776649744,112271.7585880588,0.0,81.0,92.0,54.0,18.0,68.0,42.0,140.0,17163.85341864989
55.0,224807.39004816287,34.0,66.0,73.0,88.0,14.0,73.0,148.0,105.0,34111.52408638496
39.0,171396.80614520106,16.0,92.0,81.0,73.0,15.0,93.0,125.0,95.0,26216.63314440205
35.0,140118.0914478423,14.0,54.0,61.0,51.0,19.0,95.0,68.0,108.0,21173.209701640077
20.0,111570.41984697398,0.0,95.0,80.0,53.0,8.0,64.0,18.0,114.99086016045496,16984.454749004464
24.0,103165.3899984702,0.0,65.0,57.0,92.0,16.0,73.0,148.0,96.0,15879.576128654617
56.0,229654.99761247972,32.0,80.0,55.0,100.0,16.0,86.0,58.0,92.0,34991.37765378358
26.0,105353.9123838868,1.0,77.0,62.0,77.0,14.0,89.0,196.0,86.0,16093.7656199979
26.0,137806.31715701782,6.0,75.0,86.0,71.0,4.0,75.0,59.0,104.0,21102.302086264903
54.0,203504.12881077357,31.0,58.0,67.0,61.0,9.0,89.0,73.0,89.0,30879.85342394965
48.0,175368.32512996986,24.0,56.0,43.0,91.0,18.0,60.0,33.0,110.0,26579.428107087413
30.0,134012.62911197098,7.0,81.0,70.0,63.0,13.0,63.0,52.0,128.0,20563.91836965273
20.0,130639.94939209834,0.0,66.0,99.0,100.0,15.0,78.0,118.0,142.0,20134.345698603956
29.0,119508.18012523816,8.0,68.0,53.0,53.0,19.0,94.0,25.0,120.0,18163.11504332521
23.0,126856.97802754206,3.0,87.0,70.0,82.0,17.0,70.0,24.0,145.0,19546.950360777904
25.0,112920.86980445024,4.0,54.0,69.87288049548178,54.0,8.0,85.0,40.0,111.0,17391.794836248937
57.0,201901.27447955127,33.0,52.0,79.0,55.0,14.0,97.0,154.0,146.0,30779.38142237021
40.0,183185.23534119088,18.0,63.0,82.0,95.0,11.0,75.0,77.0,130.0,27880.88456613204
28.0,119808.80388267752,3.0,91.0,59.0,79.0,11.0,64.0,12.0,138.0,18085.763690941538
59.0,216001.64056081243,35.0,56.0,44.0,84.0,7.0,92.0,77.0,96.0,32808.15734127304
42.0,184339.4702237076,22.0,65.0,63.0,68.0,6.0,88.0,149.0,118.0,27937.49351172877
59.0,217507.5319855341,34.0,75.0623350253807,40.0,92.0,18.0,79.0,179.0,93.0,32995.554093471656
28.0,135227.01058851037,6.0,57.0,96.0,56.0,18.0,69.0,79.0,116.0,20699.72669924252
58.0,231301.1989811648,37.0,75.0623350253807,61.0,63.0,10.610253807106599,92.0,135.0,112.0,35128.906590486054
23.0,118785.3877467402,3.0,90.0,67.0,67.0,2.0,60.0,95.0,96.0,18186.27266106432
60.0,244189.73453061323,38.0,60.0,87.0,78.0,18.0,87.0,153.0,81.0,37096.0939649322
27.0,143139.4592343392,7.0,94.0,97.0,59.0,18.0,62.0,104.0,150.0,21717.76739033767
29.0,110580.60138532288,6.0,58.0,42.0,69.0,12.0,62.0,101.0,106.0,16887.39573501642
35.0,144625.5672832123,10.0,56.0,62.0,99.0,18.0,86.0,168.0,99.0,22074.57637914433
35.0,160573.14628974794,14.0,61.0,96.0,76.0,1.0,71.0,198.0,122.0,24418.707411185653
46.0,192536.42741736613,21.0,97.0,91.0,65.0,9.0,70.0,189.0,93.0,29198.23638568276
44.0,179993.57144166995,24.0,80.0,54.0,62.0,15.0,82.0,88.0,109.0,27391.040801931944
34.0,162430.92950605266,14.0,92.0,52.0,75.0,11.0,77.0,27.0,115.0,24707.097207191084
42.0,175987.75195361383,17.0,82.0,65.0,93.0,18.0,81.0,17.0,94.0,26811.11820146546
36.0,138456.1439235048,15.0,87.0,56.0,52.0,4.0,98.0,121.0,114.99086016045496,21032.3702009808
40.0,165601.1510497051,17.0,88.0,72.0,57.0,13.0,96.0,58.0,112.0,25436.09686870429
22.0,96488.1951760944,0.0,77.0,40.0,83.0,18.0,72.0,103.0,135.0,14804.78401064752
24.0,110076.4411514738,0.0,71.0,79.0,70.0,4.0,79.0,139.0,119.0,16694.598368959112
46.0,202664.11407257512,24.0,75.0,84.0,68.0,18.0,68.0,59.0,133.0,30909.210414154943
44.0,192605.15973521525,19.0,97.0,97.0,61.0,20.0,96.0,87.0,131.0,29240.635214802813
55.0,225963.9715546805,35.0,69.0,58.0,63.0,14.0,97.0,165.0,121.0,34144.810626922845
49.0,205134.28546900136,26.0,78.0,83.0,63.0,17.0,90.0,198.0,101.0,31414.588382931204
25.0,128047.31837434656,3.0,82.0,82.0,90.0,20.0,81.0,33.0,110.0,19565.467983191706
39.0,148898.2568254382,18.0,62.0,49.0,51.0,2.0,75.0,131.0,89.0,22536.19095840411
49.0,174065.05749473296,26.0,90.0,76.0,62.0,13.0,91.0,112.0,111.0,29432.458724181
29.0,116388.48143136948,4.0,94.0,40.0,98.0,4.0,87.0,66.0,102.0,17790.031457768942
53.0,202152.878828831,30.0,53.0,75.0,65.0,4.0,89.0,44.0,139.0,30850.9252648264
53.0,213783.7335383188,29.0,88.0,60.0,98.0,15.0,99.0,194.0,144.0,32478.753879127253
47.0,201567.58608684837,23.0,78.0,97.0,60.0,16.0,88.0,76.0,111.0,30547.051481383856
60.0,261587.29967302064,38.0,99.0,89.0,83.0,16.0,100.0,71.0,115.0,39874.20922638133
48.0,193712.58382719383,28.0,95.0,58.0,65.0,9.0,81.0,91.0,149.0,29428.350959932308
25.0,111649.41397124212,4.0,59.0,54.0,74.0,5.0,73.0,26.0,133.0,17098.794382864045
46.0,188715.2464456096,24.0,84.0,69.0,76.0,2.0,73.0,117.0,129.0,28530.041305533006
57.0,238559.7078280845,32.0,51.0,94.0,98.0,19.0,84.0,132.0,80.0,36350.05464153599
42.0,183152.46425172937,20.0,98.0,64.0,76.0,18.0,94.0,164.0,108.0,27904.314458709105
51.0,209249.87639210757,30.0,67.0,67.0,81.0,1.0,84.0,96.0,131.0,31784.50682853223
30.0,138565.3623664934,7.0,58.0,79.0,84.0,1.0,85.0,161.0,83.0,21047.569213171373
25.0,109178.87255572378,17.66866368805849,77.0,48.0,79.0,6.0,63.0,76.0,128.0,16686.414175449743
40.0,163693.48251398676,19.0,79.0,60.0,71.0,13.0,77.0,117.0,112.0,24976.477737961395
25.0,116976.5916488634,2.0,51.0,87.0,84.0,2.0,82.0,67.0,88.0,17964.397207703754
22.0,100442.97789503702,2.0,65.0,52.0,51.0,20.0,69.0,71.0,96.0,25981.160479420636
50.0,194766.8806462216,25.0,57.0,76.0,63.0,15.0,76.0,104.0,101.0,29656.71018962689
58.0,237660.30079997244,34.0,97.0,85.0,57.0,6.0,79.0,37.0,83.0,36237.32441826125
39.0,178123.05941998566,17.66866368805849,93.0,98.0,74.0,13.0,72.0,29.0,111.0,27069.2852965621
26.0,115502.4278518724,1.0,99.0,59.0,93.0,20.0,67.0,154.0,85.0,17612.183149284316
42.0,177064.49145292948,18.0,77.0,82.0,73.0,3.0,92.0,175.0,123.0,26955.188915421088
20.0,100433.45399665007,0.0,81.0,46.0,77.0,12.0,100.0,127.0,99.0,15426.336424401115
47.0,212965.00945938955,26.0,96.0,73.0,91.0,9.0,99.0,147.0,141.0,32513.904826624163
49.0,203976.71583381025,26.0,96.0,77.0,67.0,11.0,75.0,32.0,115.0,31265.12429173049
48.0,216028.33673882505,27.0,98.0,69.0,86.0,20.0,84.0,96.0,83.0,32772.33475518213
51.0,197095.53750969443,29.0,61.0,71.0,63.0,12.0,76.0,97.0,115.0,30002.977867978483
58.0,213632.68607337077,33.0,67.0,75.0,50.0,17.0,72.0,31.0,110.0,32523.30296041482
46.0,199116.1881228677,23.0,85.0,88.0,65.0,16.0,91.0,124.0,82.0,30286.145327164468
25.0,117366.03140965795,3.0,64.0,65.0,75.07918781725888,8.0,79.0,179.0,127.0,17793.619988980106
50.0,196317.42523966488,26.0,83.0,62.0,77.0,18.0,81.0,100.0,138.0,29945.85366538208
37.0,144870.46872065103,15.0,66.0,54.0,57.0,7.0,80.0,40.0,148.0,21889.59643022645
31.0,152115.9046292559,10.0,63.0,87.0,80.0,9.0,97.0,144.0,116.0,23239.917432361268
26.0,111280.71281899432,5.0,68.0,54.0,73.0,6.0,79.0,13.0,148.0,16985.879433443704
28.0,114791.04359223,6.0,52.0,43.0,85.0,10.0,68.0,173.0,114.99086016045496,17401.359509051435
26.0,130288.93680174142,6.0,86.0,58.0,80.0,16.0,88.0,97.0,103.0,19941.418972898035
23.0,99015.2562158764,1.0,80.0,47.0,54.0,13.0,91.0,28.0,86.0,15203.868637584948
29.0,145211.65316021454,8.0,86.0,100.0,69.0,3.0,75.0,40.0,133.0,22048.16547004067
58.0,236675.1763360433,34.0,100.0,79.0,64.0,17.0,84.0,125.0,136.0,35995.85504549772
39.983451776649744,163225.23843153025,15.0,77.0,59.0,86.0,20.0,63.0,166.0,92.0,25266.858913795008
33.0,136404.45255346585,8.0,63.0,56.0,92.0,3.0,70.0,71.0,102.0,20887.824447037936
55.0,217670.008817466,35.0,60.0,40.0,76.0,15.0,98.0,130.0,117.0,33097.44044775049
22.0,113623.65377679828,1.0,68.0,85.0,68.0,15.0,64.0,185.0,109.0,17474.844988569068
